Timestamp,Department,Equipment_Type,Energy_Consumed_kWh,Shift
2024-01-02 14:00:00,Pulping,Pump,247.3158790426823,Shift B
2024-01-02 15:00:00,Finishing,Motor,246.60985392104035,Shift C
2024-01-02 16:00:00,Finishing,Boiler,347.5153795986788,Shift A
2024-01-02 17:00:00,Finishing,Motor,385.5306686290963,Shift B
2024-01-02 18:00:00,Paper Making,Compressor,294.77753907312643,Shift C
2024-01-02 19:00:00,Utilities,Motor,291.5589138404995,Shift B
2024-01-02 20:00:00,Utilities,Motor,303.50260815565906,Shift B
2024-01-02 21:00:00,Utilities,Boiler,358.0939151304095,Shift B
2024-01-02 22:00:00,Utilities,Pump,253.63234329047128,Shift C
2024-01-02 23:00:00,Finishing,Motor,311.91844913673924,Shift A
2024-01-03 00:00:00,Paper Making,Pump,348.7598814891215,Shift B
2024-01-03 01:00:00,Paper Making,Compressor,325.05470849699225,Shift A
2024-01-03 02:00:00,Finishing,Motor,309.4790808299372,Shift A
2024-01-03 03:00:00,Paper Making,Boiler,350.05230462835704,Shift C
2024-01-03 04:00:00,Finishing,Compressor,164.83838535003815,Shift C
2024-01-03 05:00:00,Utilities,Compressor,333.8937659765454,Shift A
2024-01-03 06:00:00,Finishing,Boiler,267.29621584362883,Shift B
2024-01-03 07:00:00,Utilities,Motor,208.46835515717714,Shift C
2024-01-03 08:00:00,Utilities,Motor,325.560129976249,Shift B
2024-01-03 09:00:00,Pulping,Compressor,368.68292725814786,Shift B
2024-01-03 10:00:00,Finishing,Motor,293.12757426861543,Shift B
2024-01-03 11:00:00,Pulping,Pump,347.64372736014695,Shift A
2024-01-03 12:00:00,Finishing,Boiler,380.6139128994323,Shift B
2024-01-03 13:00:00,Finishing,Pump,365.74572267920234,Shift A
2024-01-03 14:00:00,Pulping,Motor,381.99822646856967,Shift A
2024-01-03 15:00:00,Pulping,Compressor,337.1063745535946,Shift B
2024-01-03 16:00:00,Finishing,Boiler,303.77168194507965,Shift B
2024-01-03 17:00:00,Paper Making,Motor,219.90170940514156,Shift B
2024-01-03 18:00:00,Utilities,Motor,287.69687559350257,Shift B
2024-01-03 19:00:00,Pulping,Compressor,257.8376702341904,Shift A
2024-01-03 20:00:00,Utilities,Compressor,408.54713587489067,Shift B
2024-01-03 21:00:00,Paper Making,Pump,291.2057093783832,Shift B
2024-01-03 22:00:00,Paper Making,Boiler,306.1602403392243,Shift A
2024-01-03 23:00:00,Paper Making,Boiler,327.57426880202337,Shift C
2024-01-04 00:00:00,Pulping,Compressor,302.1801223186227,Shift C
2024-01-04 01:00:00,Paper Making,Pump,384.75255202153767,Shift A
2024-01-04 02:00:00,Pulping,Boiler,268.8675319132774,Shift C
2024-01-04 03:00:00,Paper Making,Compressor,309.73037276186216,Shift A
2024-01-04 04:00:00,Utilities,Motor,262.8764707150976,Shift B
2024-01-04 05:00:00,Utilities,Boiler,233.99887443896472,Shift B
2024-01-04 06:00:00,Finishing,Pump,269.41154545473574,Shift C
2024-01-04 07:00:00,Utilities,Pump,298.1481601475794,Shift B
2024-01-04 08:00:00,Finishing,Pump,278.534888774137,Shift C
2024-01-04 09:00:00,Utilities,Motor,265.3789510063072,Shift C
2024-01-04 10:00:00,Pulping,Boiler,229.6841268164083,Shift B
2024-01-04 11:00:00,Utilities,Boiler,295.8447213685653,Shift B
2024-01-04 12:00:00,Finishing,Motor,224.7639812984499,Shift C
2024-01-04 13:00:00,Finishing,Boiler,338.0027981844801,Shift B
2024-01-04 14:00:00,Paper Making,Motor,304.1219876467252,Shift A
2024-01-04 15:00:00,Pulping,Motor,227.1224250267535,Shift B
2024-01-04 16:00:00,Utilities,Motor,284.5395461475068,Shift B
2024-01-04 17:00:00,Paper Making,Pump,262.39217972047084,Shift A
2024-01-04 18:00:00,Utilities,Boiler,315.95872552095904,Shift B
2024-01-04 19:00:00,Utilities,Motor,367.0225223011572,Shift B
2024-01-04 20:00:00,Paper Making,Boiler,206.24137651771275,Shift C
2024-01-04 21:00:00,Paper Making,Pump,305.75130395737085,Shift B
2024-01-04 22:00:00,Paper Making,Motor,291.99336022166796,Shift B
2024-01-04 23:00:00,Paper Making,Compressor,333.5670038225233,Shift A
2024-01-05 00:00:00,Paper Making,Pump,310.65983141188445,Shift C
2024-01-05 01:00:00,Utilities,Compressor,262.40153341305904,Shift C
2024-01-05 02:00:00,Paper Making,Boiler,284.0473032166691,Shift C
2024-01-05 03:00:00,Pulping,Boiler,260.1987071598255,Shift B
2024-01-05 04:00:00,Finishing,Pump,353.80035692992993,Shift C
2024-01-05 05:00:00,Paper Making,Boiler,301.0655824335971,Shift A
2024-01-05 06:00:00,Paper Making,Compressor,395.05953428765037,Shift C
2024-01-05 07:00:00,Utilities,Motor,296.966959309269,Shift A
2024-01-05 08:00:00,Paper Making,Motor,264.57966165447687,Shift C
2024-01-05 09:00:00,Paper Making,Motor,224.31428036935864,Shift C
2024-01-05 10:00:00,Paper Making,Pump,209.84301618720275,Shift A
2024-01-05 11:00:00,Utilities,Boiler,220.7932028497255,Shift C
2024-01-05 12:00:00,Paper Making,Compressor,313.35633255057417,Shift C
2024-01-05 13:00:00,Finishing,Boiler,325.43625116149667,Shift C
2024-01-05 14:00:00,Utilities,Boiler,220.94046489839332,Shift B
2024-01-05 15:00:00,Finishing,Boiler,344.75191570380576,Shift A
2024-01-05 16:00:00,Utilities,Motor,275.846947415828,Shift C
2024-01-05 17:00:00,Paper Making,Compressor,307.3396505992775,Shift A
2024-01-05 18:00:00,Finishing,Compressor,380.61103141277124,Shift A
2024-01-05 19:00:00,Utilities,Boiler,344.8419657932766,Shift A
2024-01-05 20:00:00,Pulping,Motor,286.5734676047084,Shift C
2024-01-05 21:00:00,Paper Making,Motor,255.44038872923562,Shift C
2024-01-05 22:00:00,Utilities,Compressor,192.40922993353476,Shift A
2024-01-05 23:00:00,Pulping,Motor,264.042334037879,Shift B
2024-01-06 00:00:00,Utilities,Motor,289.4434880586153,Shift A
2024-01-06 01:00:00,Pulping,Motor,250.6410236424408,Shift B
2024-01-06 02:00:00,Paper Making,Pump,293.43715164538474,Shift A
2024-01-06 03:00:00,Finishing,Boiler,303.8425941479384,Shift A
2024-01-06 04:00:00,Pulping,Compressor,288.75720090959607,Shift A
2024-01-06 05:00:00,Utilities,Compressor,267.499870958827,Shift C
2024-01-06 06:00:00,Paper Making,Pump,308.43273359833637,Shift B
2024-01-06 07:00:00,Pulping,Boiler,322.09703247847045,Shift B
2024-01-06 08:00:00,Utilities,Compressor,245.4800461278577,Shift A
2024-01-06 09:00:00,Utilities,Motor,370.54661898731354,Shift C
2024-01-06 10:00:00,Utilities,Compressor,295.07059338578694,Shift C
2024-01-06 11:00:00,Pulping,Motor,300.9424811472424,Shift B
2024-01-06 12:00:00,Pulping,Pump,335.4107211628278,Shift C
2024-01-06 13:00:00,Pulping,Motor,311.6608065631751,Shift B
2024-01-06 14:00:00,Finishing,Compressor,347.6568316956623,Shift B
2024-01-06 15:00:00,Pulping,Compressor,314.3562082600912,Shift B
2024-01-06 16:00:00,Pulping,Compressor,269.3781312679781,Shift C
2024-01-06 17:00:00,Pulping,Pump,318.07517626030506,Shift B
2024-01-06 18:00:00,Finishing,Pump,242.8136896339669,Shift B
2024-01-06 19:00:00,Pulping,Boiler,305.42798528882616,Shift A
2024-01-06 20:00:00,Utilities,Compressor,298.33850046777695,Shift B
2024-01-06 21:00:00,Pulping,Motor,289.59415713637304,Shift B
2024-01-06 22:00:00,Utilities,Pump,293.57312442805346,Shift A
2024-01-06 23:00:00,Utilities,Compressor,205.90754772511804,Shift A
2024-01-07 00:00:00,Utilities,Compressor,272.5637546129519,Shift C
2024-01-07 01:00:00,Finishing,Pump,304.64224505705573,Shift B
2024-01-07 02:00:00,Finishing,Boiler,307.99281959987,Shift C
2024-01-07 03:00:00,Finishing,Pump,248.61624295370208,Shift C
2024-01-07 04:00:00,Pulping,Pump,363.28539204323505,Shift A
2024-01-07 05:00:00,Utilities,Motor,256.691257589275,Shift C
2024-01-07 06:00:00,Finishing,Motor,348.47286002633683,Shift B
2024-01-07 07:00:00,Finishing,Boiler,321.35971809358426,Shift A
2024-01-07 08:00:00,Pulping,Compressor,267.68863450780987,Shift B
2024-01-07 09:00:00,Finishing,Pump,388.7655446304756,Shift B
2024-01-07 10:00:00,Pulping,Boiler,240.318158412176,Shift A
2024-01-07 11:00:00,Paper Making,Motor,345.9577086805001,Shift B
2024-01-07 12:00:00,Finishing,Pump,350.02911590214893,Shift A
2024-01-07 13:00:00,Paper Making,Compressor,266.46898954616773,Shift B
2024-01-07 14:00:00,Pulping,Motor,369.62326500321643,Shift A
2024-01-07 15:00:00,Utilities,Motor,287.49767427005236,Shift C
2024-01-07 16:00:00,Finishing,Motor,314.43468146399283,Shift B
2024-01-07 17:00:00,Pulping,Boiler,313.01609193856103,Shift A
2024-01-07 18:00:00,Utilities,Compressor,293.28456292647263,Shift B
2024-01-07 19:00:00,Utilities,Pump,340.5404136579891,Shift B
2024-01-07 20:00:00,Paper Making,Boiler,339.6744360276106,Shift B
2024-01-07 21:00:00,Pulping,Boiler,212.57340133809095,Shift A
2024-01-07 22:00:00,Utilities,Boiler,365.2170121439076,Shift C
2024-01-07 23:00:00,Finishing,Motor,216.8754005982163,Shift C
2024-01-08 00:00:00,Finishing,Compressor,351.6273102170829,Shift C
2024-01-08 01:00:00,Paper Making,Boiler,356.3352568413792,Shift A
2024-01-08 02:00:00,Utilities,Pump,245.4516784892401,Shift C
2024-01-08 03:00:00,Pulping,Compressor,279.45928560227077,Shift A
2024-01-08 04:00:00,Finishing,Pump,244.7147665757032,Shift B
2024-01-08 05:00:00,Utilities,Compressor,289.2539484855632,Shift B
2024-01-08 06:00:00,Utilities,Pump,284.59828579071296,Shift C
2024-01-08 07:00:00,Paper Making,Motor,338.983026613467,Shift A
2024-01-08 08:00:00,Finishing,Boiler,365.5154373059804,Shift B
2024-01-08 09:00:00,Finishing,Pump,369.7841905394978,Shift A
2024-01-08 10:00:00,Pulping,Compressor,271.8915986710849,Shift A
2024-01-08 11:00:00,Finishing,Boiler,289.53890631277363,Shift B
2024-01-08 12:00:00,Pulping,Boiler,215.8280903889525,Shift A
2024-01-08 13:00:00,Finishing,Compressor,259.7064966751906,Shift B
2024-01-08 14:00:00,Paper Making,Pump,348.2425816548729,Shift B
2024-01-08 15:00:00,Finishing,Motor,380.7791411774116,Shift B
2024-01-08 16:00:00,Pulping,Motor,238.2825564060039,Shift A
2024-01-08 17:00:00,Pulping,Pump,270.3767870423553,Shift B
2024-01-08 18:00:00,Paper Making,Boiler,298.67971215205364,Shift A
2024-01-08 19:00:00,Finishing,Boiler,314.00805794098034,Shift B
2024-01-08 20:00:00,Finishing,Boiler,259.5198240039177,Shift B
2024-01-08 21:00:00,Paper Making,Boiler,321.2030522232045,Shift C
2024-01-08 22:00:00,Finishing,Pump,276.3080326464542,Shift C
2024-01-08 23:00:00,Finishing,Boiler,299.27738645608605,Shift C
2024-01-09 00:00:00,Pulping,Compressor,327.314212400185,Shift A
2024-01-09 01:00:00,Finishing,Boiler,300.3211134905469,Shift A
2024-01-09 02:00:00,Finishing,Motor,278.1807054736716,Shift B
2024-01-09 03:00:00,Paper Making,Boiler,294.51950980370844,Shift B
2024-01-09 04:00:00,Paper Making,Pump,295.58185203973323,Shift B
2024-01-09 05:00:00,Utilities,Motor,281.4994485058936,Shift B
2024-01-09 06:00:00,Pulping,Pump,287.0601968666449,Shift A
2024-01-09 07:00:00,Finishing,Pump,379.9323585252358,Shift B
2024-01-09 08:00:00,Finishing,Motor,328.0459723970619,Shift B
2024-01-09 09:00:00,Utilities,Pump,285.22598409854197,Shift C
2024-01-09 10:00:00,Finishing,Pump,334.84772022553676,Shift B
2024-01-09 11:00:00,Pulping,Boiler,283.3090255121995,Shift B
2024-01-09 12:00:00,Utilities,Compressor,358.65623187933204,Shift B
2024-01-09 13:00:00,Pulping,Pump,318.4821096099047,Shift A
2024-01-09 14:00:00,Utilities,Pump,294.63489279978853,Shift C
2024-01-09 15:00:00,Utilities,Pump,322.3858462905139,Shift B
2024-01-09 16:00:00,Paper Making,Boiler,221.45619239657503,Shift B
2024-01-09 17:00:00,Pulping,Compressor,243.66162655450972,Shift C
2024-01-09 18:00:00,Finishing,Motor,240.30374968004725,Shift B
2024-01-09 19:00:00,Finishing,Boiler,307.14715473818535,Shift A
2024-01-09 20:00:00,Pulping,Boiler,386.6257499742546,Shift B
2024-01-09 21:00:00,Finishing,Compressor,411.5650073096316,Shift A
2024-01-09 22:00:00,Finishing,Compressor,331.90255507203784,Shift A
2024-01-09 23:00:00,Pulping,Boiler,325.04222374722286,Shift B
2024-01-10 00:00:00,Utilities,Motor,209.94711329236304,Shift C
2024-01-10 01:00:00,Pulping,Boiler,272.8663100132989,Shift A
2024-01-10 02:00:00,Utilities,Compressor,260.61081240458805,Shift C
2024-01-10 03:00:00,Finishing,Motor,268.9576200874442,Shift B
2024-01-10 04:00:00,Finishing,Compressor,291.5928090707605,Shift A
2024-01-10 05:00:00,Finishing,Motor,276.3954711151436,Shift B
2024-01-10 06:00:00,Paper Making,Pump,201.0350094812106,Shift C
2024-01-10 07:00:00,Utilities,Compressor,337.3955128058767,Shift B
2024-01-10 08:00:00,Paper Making,Compressor,246.36284871300967,Shift B
2024-01-10 09:00:00,Paper Making,Boiler,311.9623432055575,Shift A
2024-01-10 10:00:00,Pulping,Compressor,403.70413348749867,Shift B
2024-01-10 11:00:00,Paper Making,Compressor,254.03077042067883,Shift B
2024-01-10 12:00:00,Pulping,Pump,173.4856238626835,Shift B
2024-01-10 13:00:00,Pulping,Compressor,285.69978890599447,Shift A
2024-01-10 14:00:00,Paper Making,Pump,355.04798174992857,Shift C
2024-01-10 15:00:00,Utilities,Pump,397.9173727110297,Shift C
2024-01-10 16:00:00,Utilities,Pump,238.52252027737916,Shift B
2024-01-10 17:00:00,Utilities,Pump,324.8349611618261,Shift A
2024-01-10 18:00:00,Utilities,Motor,276.73447716099736,Shift B
2024-01-10 19:00:00,Utilities,Boiler,294.7025822847932,Shift C
2024-01-10 20:00:00,Paper Making,Motor,432.21716735085175,Shift A
2024-01-10 21:00:00,Paper Making,Compressor,224.85148358024236,Shift C
2024-01-10 22:00:00,Finishing,Motor,312.6869830747287,Shift C
2024-01-10 23:00:00,Utilities,Motor,323.38465858827163,Shift A
2024-01-11 00:00:00,Paper Making,Compressor,354.28931624696736,Shift A
2024-01-11 01:00:00,Finishing,Compressor,304.8991576735448,Shift B
2024-01-11 02:00:00,Utilities,Compressor,315.4025269752051,Shift B
2024-01-11 03:00:00,Pulping,Motor,280.4175716289104,Shift C
2024-01-11 04:00:00,Finishing,Motor,313.45634706225536,Shift A
2024-01-11 05:00:00,Paper Making,Compressor,282.84038622512946,Shift A
2024-01-11 06:00:00,Pulping,Boiler,331.07859449280255,Shift B
2024-01-11 07:00:00,Pulping,Boiler,281.5194831978183,Shift C
2024-01-11 08:00:00,Pulping,Pump,318.8550196951093,Shift C
2024-01-11 09:00:00,Finishing,Compressor,298.5368593157511,Shift B
2024-01-11 10:00:00,Paper Making,Pump,356.3025125386084,Shift A
2024-01-11 11:00:00,Pulping,Boiler,297.4303138205757,Shift B
2024-01-11 12:00:00,Utilities,Pump,211.3483765896559,Shift B
2024-01-11 13:00:00,Pulping,Compressor,363.0960750356996,Shift B
2024-01-11 14:00:00,Pulping,Compressor,254.71338495686905,Shift B
2024-01-11 15:00:00,Finishing,Compressor,267.311683067559,Shift A
2024-01-11 16:00:00,Finishing,Motor,270.2169352978254,Shift B
2024-01-11 17:00:00,Paper Making,Pump,368.7219046585409,Shift A
2024-01-11 18:00:00,Utilities,Boiler,193.21628930106522,Shift B
2024-01-11 19:00:00,Finishing,Boiler,456.8874266829997,Shift C
2024-01-11 20:00:00,Pulping,Boiler,352.80284045330257,Shift A
2024-01-11 21:00:00,Paper Making,Motor,311.16194570645797,Shift C
2024-01-11 22:00:00,Pulping,Motor,297.25529996918567,Shift B
2024-01-11 23:00:00,Pulping,Compressor,314.27770374288286,Shift B
2024-01-12 00:00:00,Finishing,Boiler,326.05612141896694,Shift B
2024-01-12 01:00:00,Paper Making,Motor,332.26077929750284,Shift A
2024-01-12 02:00:00,Utilities,Compressor,327.78022330017245,Shift C
2024-01-12 03:00:00,Utilities,Boiler,304.4790340627624,Shift A
2024-01-12 04:00:00,Finishing,Pump,290.1330789846337,Shift A
2024-01-12 05:00:00,Finishing,Compressor,292.4363358173244,Shift B
2024-01-12 06:00:00,Paper Making,Motor,290.25458598236594,Shift C
2024-01-12 07:00:00,Utilities,Motor,356.68850484335326,Shift B
2024-01-12 08:00:00,Utilities,Compressor,329.6778361140431,Shift A
2024-01-12 09:00:00,Utilities,Compressor,152.98056826678598,Shift B
2024-01-12 10:00:00,Pulping,Motor,332.79503882648805,Shift C
2024-01-12 11:00:00,Utilities,Pump,309.7368097359387,Shift B
2024-01-12 12:00:00,Pulping,Boiler,299.0645621777051,Shift C
2024-01-12 13:00:00,Paper Making,Pump,280.5740773455557,Shift C
2024-01-12 14:00:00,Pulping,Compressor,356.2056359993007,Shift B
2024-01-12 15:00:00,Paper Making,Pump,347.3763231061429,Shift A
2024-01-12 16:00:00,Utilities,Motor,261.35611660881955,Shift B
2024-01-12 17:00:00,Utilities,Compressor,320.35261435622675,Shift A
2024-01-12 18:00:00,Paper Making,Boiler,251.4171632729357,Shift A
2024-01-12 19:00:00,Finishing,Motor,231.01909176055347,Shift B
2024-01-12 20:00:00,Paper Making,Motor,268.6641387705017,Shift A
2024-01-12 21:00:00,Finishing,Boiler,343.1196736191379,Shift A
2024-01-12 22:00:00,Pulping,Boiler,347.65625226880434,Shift B
2024-01-12 23:00:00,Pulping,Pump,325.65427100486465,Shift B
2024-01-13 00:00:00,Pulping,Compressor,336.2547893423999,Shift B
2024-01-13 01:00:00,Utilities,Boiler,325.8089143557479,Shift A
2024-01-13 02:00:00,Pulping,Boiler,267.92592023885237,Shift C
2024-01-13 03:00:00,Finishing,Compressor,321.596127233697,Shift A
2024-01-13 04:00:00,Pulping,Boiler,340.0204762613841,Shift C
2024-01-13 05:00:00,Paper Making,Boiler,337.7145664906787,Shift B
2024-01-13 06:00:00,Paper Making,Pump,359.4456685737322,Shift C
2024-01-13 07:00:00,Utilities,Motor,335.4151923600532,Shift B
2024-01-13 08:00:00,Paper Making,Motor,317.57241037707917,Shift B
2024-01-13 09:00:00,Finishing,Motor,353.5075119158214,Shift C
2024-01-13 10:00:00,Pulping,Motor,298.673937037547,Shift B
2024-01-13 11:00:00,Utilities,Boiler,255.90626743861412,Shift C
2024-01-13 12:00:00,Pulping,Compressor,291.84665180281183,Shift B
2024-01-13 13:00:00,Pulping,Compressor,262.75486775967755,Shift A
2024-01-13 14:00:00,Finishing,Pump,266.24108625128093,Shift A
2024-01-13 15:00:00,Paper Making,Pump,292.7740664642241,Shift B
2024-01-13 16:00:00,Paper Making,Boiler,260.37900395000196,Shift B
2024-01-13 17:00:00,Pulping,Compressor,284.601923518048,Shift C
2024-01-13 18:00:00,Utilities,Compressor,205.31926665231072,Shift A
2024-01-13 19:00:00,Paper Making,Motor,310.66468536864693,Shift C
2024-01-13 20:00:00,Utilities,Boiler,300.0602737681112,Shift B
2024-01-13 21:00:00,Paper Making,Boiler,259.14556844659046,Shift B
2024-01-13 22:00:00,Utilities,Motor,332.96228342162027,Shift C
2024-01-13 23:00:00,Finishing,Boiler,346.8785068813279,Shift B
2024-01-14 00:00:00,Utilities,Boiler,219.6220067815513,Shift A
2024-01-14 01:00:00,Finishing,Pump,261.8637610716893,Shift C
2024-01-14 02:00:00,Finishing,Compressor,261.5428825106351,Shift A
2024-01-14 03:00:00,Utilities,Boiler,253.00484494455677,Shift A
2024-01-14 04:00:00,Finishing,Pump,341.47374209658744,Shift A
2024-01-14 05:00:00,Pulping,Compressor,290.3086930613598,Shift C
2024-01-14 06:00:00,Finishing,Motor,286.77425793446946,Shift B
2024-01-14 07:00:00,Paper Making,Pump,199.80688177966232,Shift A
2024-01-14 08:00:00,Utilities,Pump,331.77090151046133,Shift A
2024-01-14 09:00:00,Pulping,Compressor,238.03708025732638,Shift A
2024-01-14 10:00:00,Utilities,Motor,302.9966315133164,Shift B
2024-01-14 11:00:00,Paper Making,Pump,313.8688468979096,Shift B
2024-01-14 12:00:00,Paper Making,Boiler,368.03292979193253,Shift C
2024-01-14 13:00:00,Paper Making,Boiler,234.5589800440444,Shift B
2024-01-14 14:00:00,Finishing,Boiler,149.02439220895874,Shift C
2024-01-14 15:00:00,Finishing,Motor,309.1924772376847,Shift C
2024-01-14 16:00:00,Utilities,Pump,390.0255590755427,Shift C
2024-01-14 17:00:00,Utilities,Boiler,361.9473176469719,Shift C
2024-01-14 18:00:00,Pulping,Motor,310.4829707637313,Shift C
2024-01-14 19:00:00,Pulping,Boiler,275.4181907183976,Shift A
2024-01-14 20:00:00,Utilities,Compressor,340.35612983186553,Shift B
2024-01-14 21:00:00,Finishing,Pump,251.32269001477658,Shift A
2024-01-14 22:00:00,Paper Making,Pump,323.817888467811,Shift C
2024-01-14 23:00:00,Utilities,Motor,325.2735079583313,Shift B
2024-01-15 00:00:00,Pulping,Motor,353.01049537494396,Shift A
2024-01-15 01:00:00,Finishing,Pump,437.9830019455539,Shift A
2024-01-15 02:00:00,Utilities,Boiler,319.6207983589384,Shift C
2024-01-15 03:00:00,Utilities,Boiler,274.5518187146251,Shift A
2024-01-15 04:00:00,Finishing,Compressor,298.7212843904003,Shift A
2024-01-15 05:00:00,Utilities,Boiler,211.54620475554407,Shift A
2024-01-15 06:00:00,Finishing,Motor,265.26434344554707,Shift A
2024-01-15 07:00:00,Paper Making,Motor,279.5358780943448,Shift A
2024-01-15 08:00:00,Finishing,Boiler,273.79558010327037,Shift C
2024-01-15 09:00:00,Finishing,Motor,307.6177436016861,Shift C
2024-01-15 10:00:00,Finishing,Pump,258.87900338088997,Shift A
2024-01-15 11:00:00,Utilities,Pump,356.05153336622357,Shift C
2024-01-15 12:00:00,Utilities,Boiler,300.01035324590987,Shift C
2024-01-15 13:00:00,Finishing,Pump,299.5349839430693,Shift B
2024-01-15 14:00:00,Utilities,Pump,283.6052641743541,Shift A
2024-01-15 15:00:00,Pulping,Compressor,307.75953419294893,Shift C
2024-01-15 16:00:00,Pulping,Compressor,341.2549132333817,Shift C
2024-01-15 17:00:00,Utilities,Pump,256.643489214455,Shift A
2024-01-15 18:00:00,Utilities,Boiler,267.0941755462372,Shift B
2024-01-15 19:00:00,Finishing,Compressor,284.81369856116675,Shift A
2024-01-15 20:00:00,Paper Making,Motor,232.70645382633927,Shift B
2024-01-15 21:00:00,Utilities,Motor,259.0371070139251,Shift A
2024-01-15 22:00:00,Pulping,Motor,276.18895632276707,Shift A
2024-01-15 23:00:00,Finishing,Boiler,343.71945903563636,Shift A
2024-01-16 00:00:00,Utilities,Pump,313.12806645009624,Shift A
2024-01-16 01:00:00,Pulping,Motor,309.6794955683772,Shift B
2024-01-16 02:00:00,Pulping,Boiler,342.5448981083986,Shift B
2024-01-16 03:00:00,Paper Making,Compressor,293.13141058003015,Shift C
2024-01-16 04:00:00,Finishing,Pump,319.5232424964445,Shift A
2024-01-16 05:00:00,Finishing,Compressor,294.8389123533752,Shift B
2024-01-16 06:00:00,Paper Making,Boiler,313.2681174699814,Shift B
2024-01-16 07:00:00,Paper Making,Motor,270.8620671194209,Shift B
2024-01-16 08:00:00,Finishing,Motor,178.05914208617855,Shift A
2024-01-16 09:00:00,Finishing,Boiler,293.28604189068477,Shift C
2024-01-16 10:00:00,Utilities,Motor,371.137406804997,Shift B
2024-01-16 11:00:00,Utilities,Pump,346.31077011207964,Shift A
2024-01-16 12:00:00,Paper Making,Boiler,348.2698742295585,Shift B
2024-01-16 13:00:00,Utilities,Compressor,361.8065360903109,Shift B
2024-01-16 14:00:00,Pulping,Boiler,304.43287954807187,Shift C
2024-01-16 15:00:00,Utilities,Pump,309.86578537027975,Shift B
2024-01-16 16:00:00,Utilities,Pump,269.1174052282825,Shift B
2024-01-16 17:00:00,Pulping,Boiler,284.1963571986475,Shift A
2024-01-16 18:00:00,Paper Making,Boiler,330.7885574885571,Shift A
2024-01-16 19:00:00,Pulping,Motor,360.1942218584408,Shift C
2024-01-16 20:00:00,Utilities,Pump,293.02768621595004,Shift A
2024-01-16 21:00:00,Paper Making,Boiler,277.4905367574294,Shift A
2024-01-16 22:00:00,Utilities,Boiler,300.0263979428299,Shift C
2024-01-16 23:00:00,Pulping,Pump,330.0603374464557,Shift B
2024-01-17 00:00:00,Pulping,Boiler,227.80725919332292,Shift C
2024-01-17 01:00:00,Utilities,Motor,185.1909523431381,Shift A
2024-01-17 02:00:00,Finishing,Pump,272.47315752542085,Shift C
2024-01-17 03:00:00,Finishing,Motor,238.96437870429207,Shift B
2024-01-17 04:00:00,Pulping,Motor,274.5929901176345,Shift C
2024-01-17 05:00:00,Pulping,Motor,292.61098405912645,Shift A
